param n := 442;
param deposito := 442;
param numero_clusters := 89;
param factor := 1;

set Np[1]:= 373 374 375  ;
set Np[2]:= 442  ;
set Np[3]:= 346 347 348  ;
set Np[4]:= 25 26 27 28 29 59 60 61 92  ;
set Np[5]:= 163 164 176 188 200 393 397  ;
set Np[6]:= 295 296 297 298 299 321 322 323 324 429 430  ;
set Np[7]:= 184 199 210 220 226  ;
set Np[8]:= 227 234 405  ;
set Np[9]:= 7 8 9 10 11 41 42 43 74  ;
set Np[10]:= 205 217 404 408 409 412  ;
set Np[11]:= 83 84 108 439  ;
set Np[12]:= 104 115 127 386 387 441  ;
set Np[13]:= 421 424 425  ;
set Np[14]:= 268 272 420 423 438  ;
set Np[15]:= 113 125 383 384  ;
set Np[16]:= 133 146 158 169  ;
set Np[17]:= 345 365 366 367 368  ;
set Np[18]:= 343 352 353 354 355  ;
set Np[19]:= 252 253 254 255 417 418  ;
set Np[20]:= 143 155 156 166 167 178 179 180 394 395 398  ;
set Np[21]:= 273 276 279 281 282  ;
set Np[22]:= 1 2 3 4 5 35 36 37 68  ;
set Np[23]:= 174 186 187 396 399  ;
set Np[24]:= 105 106 117  ;
set Np[25]:= 241 242 243  ;
set Np[26]:= 31 32 33 376 377  ;
set Np[27]:= 12 13 14 15 16 46 47 48 79  ;
set Np[28]:= 20 21 22 23 24 53 54 55 56  ;
set Np[29]:= 116 138 392  ;
set Np[30]:= 213 222 230  ;
set Np[31]:= 280 283 284 285 308 426 440  ;
set Np[32]:= 109 110 120 121 122 131 132 385 391  ;
set Np[33]:= 161 172 185  ;
set Np[34]:= 369 370 371 372 432  ;
set Np[35]:= 182 195 196 197 206 207 208 218  ;
set Np[36]:= 177 189 190 191 201 202 203 214 402  ;
set Np[37]:= 300 301 302 303 304 325 326 327 328 329  ;
set Np[38]:= 290 291 292 293 294 316 317 318 319 320  ;
set Np[39]:= 129 141 154 165  ;
set Np[40]:= 286 287 288 289 312 313 314 315 340  ;
set Np[41]:= 259 260 261 419 422  ;
set Np[42]:= 112 124  ;
set Np[43]:= 237 265 414  ;
set Np[44]:= 135 148 160 171  ;
set Np[45]:= 356 357 358 434 435  ;
set Np[46]:= 344 362 363  ;
set Np[47]:= 336 337 338 427  ;
set Np[48]:= 211 212 221 403  ;
set Np[49]:= 6 38 39 40 69 70 71 72 73  ;
set Np[50]:= 144 145 157 168 181 194  ;
set Np[51]:= 170 183 198  ;
set Np[52]:= 240 267 270 271 274 277  ;
set Np[53]:= 305 306 330 331 332  ;
set Np[54]:= 233 256 257 258  ;
set Np[55]:= 236 262 263 264 413 416  ;
set Np[56]:= 17 18 19 50 51 52  ;
set Np[57]:= 119 130 142 388 390  ;
set Np[58]:= 278  ;
set Np[59]:= 341 342 428  ;
set Np[60]:= 349 350 351  ;
set Np[61]:= 137 150 151 152 162 173 389  ;
set Np[62]:= 192 193 204 216 225  ;
set Np[63]:= 175  ;
set Np[64]:= 30 62 63 64 93 94 95 96 101 379 380 436  ;
set Np[65]:= 107 118  ;
set Np[66]:= 111 123  ;
set Np[67]:= 128 139 140 153  ;
set Np[68]:= 134 147 159  ;
set Np[69]:= 209 219 410 411  ;
set Np[70]:= 228 235 406 407  ;
set Np[71]:= 229 244 245 246 247  ;
set Np[72]:= 238 239 266 269  ;
set Np[73]:= 359 360 361  ;
set Np[74]:= 248 249 250 251 415  ;
set Np[75]:= 34 66 67  ;
set Np[76]:= 44 45 75 76 77 78 99  ;
set Np[77]:= 57 58 88 89 90 91  ;
set Np[78]:= 215 224 232  ;
set Np[79]:= 223 231  ;
set Np[80]:= 309 310 311 339 433  ;
set Np[81]:= 400 401  ;
set Np[82]:= 102 103 114  ;
set Np[83]:= 126 136 149  ;
set Np[84]:= 307 333 334 335  ;
set Np[85]:= 275 437  ;
set Np[86]:= 364 431  ;
set Np[87]:= 65 97 98  ;
set Np[88]:= 85 86 87 378 381 382  ;
set Np[89]:= 49 80 81 82 100  ;


param c:=
1	2	100.0
1	3	200.0
1	4	300.0
1	5	400.0
1	6	500.0
1	7	600.0
1	8	700.0
1	9	800.0
1	10	900.0
1	11	1000.0
1	12	1100.0
1	13	1200.0
1	14	1300.0
1	15	1400.0
1	16	1500.0
1	17	1600.0
1	18	1700.0
1	19	1800.0
1	20	1900.0
1	21	2000.0
1	22	2100.0
1	23	2200.0
1	24	2300.0
1	25	2400.0
1	26	2500.0
1	27	2600.0
1	28	2700.0
1	29	2800.0
1	30	2900.0
1	31	3000.0
1	32	3100.0
1	33	3200.0
1	34	100.0
1	35	141.42
1	36	223.61
1	37	316.23
1	38	412.31
1	39	509.9
1	40	608.28
1	41	707.11
1	42	806.23
1	43	905.54
1	44	1004.99
1	45	1104.54
1	46	1204.16
1	47	1303.84
1	48	1403.57
1	49	1503.33
1	50	1603.12
1	51	1702.94
1	52	1802.78
1	53	1902.63
1	54	2002.5
1	55	2102.38
1	56	2202.27
1	57	2302.17
1	58	2402.08
1	59	2502.0
1	60	2601.92
1	61	2701.85
1	62	2801.79
1	63	2901.72
1	64	3001.67
1	65	3101.61
1	66	200.0
1	67	223.61
1	68	282.84
1	69	360.56
1	70	447.21
1	71	538.52
1	72	632.46
1	73	728.01
1	74	824.62
1	75	921.95
1	76	1019.8
1	77	1118.03
1	78	1216.55
1	79	1315.29
1	80	1414.21
1	81	1513.27
1	82	1612.45
1	83	1711.72
1	84	1811.08
1	85	1910.5
1	86	2009.98
1	87	2109.5
1	88	2209.07
1	89	2308.68
1	90	2408.32
1	91	2507.99
1	92	2607.68
1	93	2707.4
1	94	2807.13
1	95	2906.89
1	96	3006.66
1	97	3106.44
1	98	3206.24
1	99	1140.18
1	100	1460.15
1	101	2716.62
1	102	400.0
1	103	509.9
1	104	538.52
1	105	1208.3
1	106	1300.0
1	107	1486.61
1	108	1772.0
1	109	2061.55
1	110	2353.72
1	111	2647.64
1	112	2942.79
1	113	3238.83
1	114	608.28
1	115	632.46
1	116	870.0
1	117	1253.0
1	118	1523.15
1	119	1802.78
1	120	2088.06
1	121	2280.35
1	122	2376.97
1	123	2668.33
1	124	2961.42
1	125	3255.76
1	126	707.11
1	127	728.01
1	128	1303.84
1	129	1565.25
1	130	1838.48
1	131	2118.96
1	132	2404.16
1	133	2692.58
1	134	2983.29
1	135	3275.67
1	136	806.23
1	137	824.62
1	138	1063.01
1	139	1360.15
1	140	1466.44
1	141	1612.45
1	142	1878.83
1	143	2154.07
1	144	2340.94
1	145	2435.16
1	146	2720.29
1	147	3008.32
1	148	3298.48
1	149	905.54
1	150	921.95
1	151	948.68
1	152	1029.56
1	153	1421.27
1	154	1664.33
1	155	1923.54
1	156	2193.17
1	157	2469.82
1	158	2751.36
1	159	3036.45
1	160	3324.15
1	161	1004.99
1	162	1019.8
1	163	1486.61
1	164	1640.12
1	165	1720.47
1	166	1972.31
1	167	2236.07
1	168	2507.99
1	169	2785.68
1	170	3067.57
1	171	3352.61
1	172	1104.54
1	173	1118.03
1	174	1140.18
1	175	1320.19
1	176	1555.63
1	177	1780.45
1	178	2024.85
1	179	2109.5
1	180	2282.54
1	181	2549.51
1	182	2823.12
1	183	3101.61
1	184	3383.78
1	185	1204.16
1	186	1216.55
1	187	1311.83
1	188	1627.88
1	189	1843.91
1	190	2000.0
1	191	2080.87
1	192	2332.38
1	193	2418.68
1	194	2594.22
1	195	2701.18
1	196	2773.08
1	197	2863.56
1	198	3138.47
1	199	3417.6
1	200	1702.94
1	201	1910.5
1	202	1984.94
1	203	2140.09
1	204	2385.37
1	205	2641.97
1	206	2729.47
1	207	2782.37
1	208	2906.89
1	209	3178.05
1	210	3453.98
1	211	1565.25
1	212	1664.33
1	213	1780.45
1	214	1979.9
1	215	2202.27
1	216	2441.31
1	217	2692.58
1	218	2952.96
1	219	3220.25
1	220	3492.85
1	221	1700.0
1	222	1860.11
1	223	2051.83
1	224	2267.16
1	225	2500.0
1	226	3534.12
1	227	1603.12
1	228	1612.45
1	229	1802.47
1	230	1941.65
1	231	2126.03
1	232	2334.52
1	233	2561.25
1	234	1702.94
1	235	1711.72
1	236	3106.44
1	237	3553.08
1	238	1802.78
1	239	1800.25
1	240	1811.08
