param n := 535;
param deposito := 19;
param numero_clusters := 107;
param factor := 1;

set Np[1]:= 19  ;
set Np[2]:= 15 17 20 104 126 182 208 226 264 276 295 296 364 368 402 403 464 485 510 515  ;
set Np[3]:= 407  ;
set Np[4]:= 96 180 336 418  ;
set Np[5]:= 256 257 269 383 425 439 444  ;
set Np[6]:= 148 238 287 325 334  ;
set Np[7]:= 29 61 186 393 398 448 504  ;
set Np[8]:= 379  ;
set Np[9]:= 417  ;
set Np[10]:= 11 33 46 143 236 423  ;
set Np[11]:= 222  ;
set Np[12]:= 157 260 380 484  ;
set Np[13]:= 26 181  ;
set Np[14]:= 404 456  ;
set Np[15]:= 323 331 463  ;
set Np[16]:= 522 527  ;
set Np[17]:= 242 421 471  ;
set Np[18]:= 378  ;
set Np[19]:= 274  ;
set Np[20]:= 211 313 424 476  ;
set Np[21]:= 80 123 135  ;
set Np[22]:= 328  ;
set Np[23]:= 71 156 350 442  ;
set Np[24]:= 318  ;
set Np[25]:= 237  ;
set Np[26]:= 37 66 117 120 125 138 139 164 165 230 302 316 365 457 500 521 528  ;
set Np[27]:= 322  ;
set Np[28]:= 243 406  ;
set Np[29]:= 72 169 244  ;
set Np[30]:= 36 40 53 217 232 409  ;
set Np[31]:= 247  ;
set Np[32]:= 516 526  ;
set Np[33]:= 56  ;
set Np[34]:= 163 326  ;
set Np[35]:= 339  ;
set Np[36]:= 452 473  ;
set Np[37]:= 221 353 370 499  ;
set Np[38]:= 298  ;
set Np[39]:= 3 64 187 432 468 478  ;
set Np[40]:= 25 28 54 65 76 87 89 91 93 94 116 127 154 162 167 172 175 192 198 205 209 212 214 215 249 265 266 270 273 275 277 279 290 305 314 319 332 335 337 338 345 355 372 395 396 401 408 419 460 465 466 469 477 492 493 494 498 507 509 512 514 533  ;
set Np[41]:= 201 411 426 508  ;
set Np[42]:= 200 435 483  ;
set Np[43]:= 74 119 190 415  ;
set Np[44]:= 82 121  ;
set Np[45]:= 141 248 303 312 341 367  ;
set Np[46]:= 438  ;
set Np[47]:= 85  ;
set Np[48]:= 84  ;
set Np[49]:= 110 142 251 535  ;
set Np[50]:= 39 79 168 304 441  ;
set Np[51]:= 144 152 173 223 333 361 427 496  ;
set Np[52]:= 241 349 374  ;
set Np[53]:= 35 158 250  ;
set Np[54]:= 78 428  ;
set Np[55]:= 360 489  ;
set Np[56]:= 48  ;
set Np[57]:= 58 67 83 90 107 111 140 166 171 174 179 196 202 210 258 271 272 280 284 286 297 321 329 344 356 366 384 437 453 458 491 534  ;
set Np[58]:= 9 13 195 282 472 475  ;
set Np[59]:= 346  ;
set Np[60]:= 289  ;
set Np[61]:= 204 311  ;
set Np[62]:= 177  ;
set Np[63]:= 1 16 18 21 68 101 122 133 155 220 278 315 317 362 389 391 405 480 487 490 497  ;
set Np[64]:= 5 23 59 69 151 363 451  ;
set Np[65]:= 49 63 86 240 517 518 519 520 523  ;
set Np[66]:= 12 108 306 308 467  ;
set Np[67]:= 103 219 245  ;
set Np[68]:= 100 188 254  ;
set Np[69]:= 132  ;
set Np[70]:= 106 422  ;
set Np[71]:= 45 92  ;
set Np[72]:= 252 443  ;
set Np[73]:= 227 330 525  ;
set Np[74]:= 10 52  ;
set Np[75]:= 27 98 128 176 228 231 359 373 506  ;
set Np[76]:= 429  ;
set Np[77]:= 146 239 300 342 387 532  ;
set Np[78]:= 430  ;
set Np[79]:= 22 24 31 57 102 145 261 292 348 482  ;
set Np[80]:= 105 183 351  ;
set Np[81]:= 283  ;
set Np[82]:= 486  ;
set Np[83]:= 34 229 410 488  ;
set Np[84]:= 7 309  ;
set Np[85]:= 77 124 294  ;
set Np[86]:= 2 6 14 62 75 131 184 199 320 358 371 462  ;
